Country,Target,so1_OO1_1,Ind1,Ind2,Ind3,Ind4,so1_OO1_2,Ind5,Ind6,Ind7,Ind8,so1_OO2_1,Ind9,Ind10,Ind11,Ind12,so1_OO3_1,Ind13,Ind14,Ind15,Ind16,
Angola,1,0.557,1.000,0.500,0.375,0.354,0.285,0.467,0.297,0.375,0.000,0.355,0.563,0.031,0.469,0.359,0.157,0.060,0.042,0.386,0.139,
Bangladesh,1,0.769,1.000,1.000,0.800,0.278,0.548,0.722,0.448,0.688,0.333,0.414,0.375,0.188,0.531,0.563,0.444,0.369,0.328,0.393,0.688,
Bolivia,1,0.722,0.667,0.500,1.000,0.722,0.319,0.583,0.052,0.308,0.333,0.477,0.750,0.183,0.671,0.302,0.287,0.296,0.047,0.351,0.452,
Burkina Faso,1,0.750,1.000,1.000,,0.250,0.316,0.222,0.042,0.667,0.333,0.641,0.750,0.375,0.688,0.750,0.523,0.478,0.177,0.520,0.917,
Cameroon,1,0.182,0.333,0.000,,0.213,0.340,0.367,0.083,0.578,0.333,0.415,0.458,0.292,0.490,0.422,0.311,0.124,0.073,0.395,0.653,
Dominican Republic,1,0.556,0.667,,0.500,0.500,0.618,0.722,0.896,0.521,0.333,0.521,0.583,0.250,0.750,0.500,0.363,0.106,0.000,0.594,0.750,
El Salvador,1,0.749,1.000,0.500,0.900,0.597,0.298,0.500,0.063,0.295,0.333,0.663,1.000,0.277,0.723,0.652,0.261,0.218,0.089,0.295,0.440,
Ethiopia,1,0.847,1.000,1.000,1.000,0.389,0.647,0.900,0.481,0.875,0.333,0.729,1.000,0.083,0.875,0.958,0.560,0.456,0.222,0.617,0.944,
Ghana,1,0.667,1.000,0.500,1.000,0.167,0.529,0.700,0.500,0.583,0.333,0.521,0.667,0.000,0.833,0.583,0.362,0.133,0.042,0.550,0.722,
Granada,1,0.760,1.000,1.000,0.875,0.167,0.536,0.375,0.438,0.667,0.667,0.502,0.917,0.000,0.528,0.563,0.239,0.122,0.000,0.280,0.556,
Guatemala,1,0.958,1.000,1.000,1.000,0.833,0.377,0.600,0.120,0.454,0.333,0.623,0.667,0.278,0.759,0.787,0.448,0.344,0.338,0.552,0.556,
Haiti,1,0.639,0.444,1.000,,0.472,0.217,0.222,0.146,0.500,0.000,0.398,0.333,0.063,0.635,0.563,0.423,0.500,0.208,0.360,0.625,
Honduras,1,0.783,1.000,0.500,0.800,0.833,0.460,0.833,0.125,0.547,0.333,0.638,0.917,0.229,0.760,0.646,0.508,0.464,0.281,0.543,0.743,
Kenya,1,0.875,1.000,1.000,1.000,0.500,0.379,0.600,0.167,0.583,0.167,0.792,1.000,0.500,0.917,0.750,0.673,0.767,0.406,0.518,1.000,
Laos,1,0.792,1.000,1.000,1.000,0.167,0.340,0.500,0.278,0.417,0.167,0.635,1.000,0.083,0.792,0.667,0.284,0.056,0.021,0.336,0.722,
Malawi,1,0.486,0.333,0.500,0.609,0.500,0.426,0.553,0.402,0.750,0.000,0.622,0.625,0.175,0.975,0.713,0.446,0.494,0.088,0.468,0.733,
Mali,1,0.792,1.000,1.000,1.000,0.167,0.422,0.167,0.375,0.813,0.333,0.813,1.000,0.375,0.938,0.938,0.739,0.579,0.563,0.813,1.000,
Mozambique,1,0.792,1.000,1.000,1.000,0.167,0.436,0.600,0.063,0.750,0.333,0.492,0.375,0.000,0.781,0.813,0.442,0.342,0.031,0.519,0.875,
Myanmar,1,0.637,1.000,,0.800,0.111,0.283,0.800,0.000,0.333,0.000,0.198,0.000,0.000,0.625,0.167,0.202,0.079,0.021,0.264,0.444,
Nepal,1,0.544,0.333,0.500,0.800,0.542,0.434,0.611,0.292,0.500,0.333,0.638,0.625,0.208,0.875,0.844,0.291,0.302,0.016,0.242,0.604,
Niger,1,0.917,1.000,1.000,1.000,0.667,0.373,0.125,0.408,0.625,0.333,0.656,1.000,0.167,0.638,0.819,0.565,0.571,0.401,0.539,0.750,
Nigeria,1,0.769,1.000,1.000,0.800,0.278,0.490,0.583,0.625,0.750,0.000,0.375,0.250,0.250,0.625,0.375,0.259,0.100,0.000,0.438,0.500,
Senegal,1,0.792,1.000,1.000,1.000,0.167,0.464,0.500,0.271,0.750,0.333,0.570,1.000,0.063,0.656,0.563,0.444,0.275,0.083,0.502,0.917,
Tanzania,1,0.458,0.667,0.500,,0.208,0.411,0.583,0.413,0.313,0.333,0.484,0.750,0.125,0.792,0.271,0.299,0.375,0.021,0.259,0.542,
Timor-Leste,1,0.792,1.000,1.000,1.000,0.167,0.328,0.467,0.327,0.350,0.167,0.758,1.000,0.238,0.838,0.956,0.375,0.299,0.231,0.360,0.608,
Uganda,1,0.819,1.000,1.000,1.000,0.278,0.490,0.667,0.375,0.583,0.333,0.576,0.875,0.167,0.708,0.552,0.460,0.379,0.198,0.430,0.833,
Zambia,1,0.731,1.000,1.000,,0.194,0.372,0.500,0.156,0.500,0.333,0.422,0.667,0.042,0.531,0.448,0.314,0.119,0.115,0.302,0.722,
Zimbabwe,1,0.843,1.000,1.000,,0.528,0.385,0.389,0.549,0.604,0.000,0.651,1.000,0.000,0.896,0.708,0.439,0.558,0.156,0.443,0.597,
Afghanistan,0,0.300,0.333,0.500,0.200,0.167,0.309,0.306,0.069,0.861,0.000,0.049,0.194,0.000,0.000,0.000,0.249,0.143,0.066,0.189,0.597,
Armenia,0,0.546,0.333,,,0.759,0.326,0.444,0.194,0.333,0.333,0.528,0.778,0.250,0.583,0.500,0.414,0.426,0.134,0.356,0.741,
Cambodia,0,0.397,1.000,0.000,,0.191,0.405,0.500,0.231,0.722,0.167,0.708,1.000,0.167,0.806,0.861,0.345,0.219,0.069,0.294,0.796,
Chad,0,0.349,0.333,0.500,,0.213,0.248,0.267,0.350,0.375,0.000,0.374,0.563,0.167,0.406,0.359,0.242,0.338,0.010,0.218,0.403,
Cook Islands,0,0.000,,,,0.000,0.510,0.333,0.625,0.750,0.333,0.579,0.750,0.286,0.578,0.703,0.373,0.531,0.000,0.472,0.488,
DR Congo,0,0.481,0.333,0.500,,0.611,0.193,0.067,0.282,0.425,0.000,0.414,0.540,0.122,0.433,0.563,0.250,0.100,0.089,0.255,0.556,
