code,selection_only,parent,description_en,sort,type
all,true,,all,1
so1,true,all,SO-1,1000,L0
so2,true,all,SO-2,2000,L0
so3,true,all,SO-3,3000,L0
so4,true,all,SO-4,4000,L0
so5,true,all,SO-5,5000,L0
so1_001,true,so1,OO-1.1,1100,L1
so1_002,true,so1,OO-1.2,1200,L1
so1_003,true,so1,OO-1.3,1300,L1
so2_001,true,so2,OO-2.1,2100,L1
so2_002,true,so2,OO-2.2,2200,L1
so2_003,true,so2,OO-2.3,2300,L1
so2_004,true,so2,OO-2.4,2400,L1
so3_001,true,so3,OO-3.1,3100,L1
so3_002,true,so3,OO-3.2,3200,L1
so3_003,true,so3,OO-3.3,3300,L1
so4_001,true,so4,OO-4.1,4100,L1
so4_002,true,so4,OO-4.2,4200,L1
so4_003,true,so4,OO-4.3,4300,L1
so5_001,true,so5,OO-5.1,5100,L1
so5_002,true,so5,OO-5.2,5200,L1
so5_003,true,so5,OO-5.3,5300,L1
so5_004,true,so5,OO-5.4,5300,L1
so1_001_1,false,so1_001,OO-1.1.1,1110,L2
so1_001_2,false,so1_001,OO-1.1.2,1120,L2
so1_002_1,false,so1_002,OO-1.2.1,1130,L2
so1_003_1,false,so1_003,OO-1.3.1,1140,L2
so2_001_1,false,so2_001,OO-2.1.1,2110,L2
so2_001_2,false,so2_001,OO-2.1.2,2120,L2
so2_001_3,false,so2_001,OO-2.1.3,2130,L2
so2_001_4,false,so2_001,OO-2.1.4,2140,L2
so2_001_5,false,so2_001,OO-2.1.5,2150,L2
so2_001_6,false,so2_001,OO-2.1.6,2160,L2
so2_002_1,false,so2_002,OO-2.2.1,2170,L2
so2_002_2,false,so2_002,OO-2.2.2,2180,L2
so2_003_1,false,so2_003,OO-2.3.1,2190,L2
so2_003_2,false,so2_003,OO-2.3.2,2200,L2
so2_003_3,false,so2_003,OO-2.3.3,2210,L2
so2_004_1,false,so2_004,OO-2.4.1,2220,L2
so2_004_2,false,so2_004,OO-2.4.2,2230,L2
so3_001_1,false,so3_001,OO-3.1.1,3110,L2
so3_001_2,false,so3_001,OO-3.1.2,3120,L2
so3_002_1,false,so3_002,OO-3.2.1,3130,L2
so3_003_1,false,so3_003,OO-3.3.1,3140,L2
so4_001_1,false,so4_001,OO-4.1.1,4110,L2
so4_001_2,false,so4_001,OO-4.1.2,4120,L2
so4_001_3,false,so4_001,OO-4.1.3,4130,L2
so4_002_1,false,so4_002,OO-4.2.1,4140,L2
so4_002_2,false,so4_002,OO-4.2.2,4150,L2
so4_003_1,false,so4_003,OO-4.3.1,4160,L2
so4_003_2,false,so4_003,OO-4.3.2,4170,L2
so4_003_3,false,so4_003,OO-4.3.3,4180,L2
so5_001_1,false,so5_001,00-5.1.1,5110,L2
so5_002_1,false,so5_002,00-5.2.1,5120,L2
so5_003_1,false,so5_003,00-5.3.1,5130,L2
so5_004_1,false,so5_004,00-5.4.1,5140,L2
so1_001_1_A1,false,so1_001_1,OO-1.1.1.A1,1111,L3
so1_001_1_A2,false,so1_001_1,OO-1.1.1.A2,1112,L3
so1_001_1_A3,false,so1_001_1,OO-1.1.1.A3,1113,L3
so1_001_1_A4,false,so1_001_1,OO-1.1.1.A4,1114,L3
so1_001_2_B1,false,so1_001_2,OO-1.1.2.B1,1121,L3
so1_001_2_B2,false,so1_001_2,OO-1.1.2.B2,1122,L3 
so1_001_2_B3,false,so1_001_2,OO-1.1.2.B3,1123,L3
so1_001_2_B4,false,so1_001_2,OO-1.1.2.B4,1124,L3
so1_002_1_C1,false,so1_002_1,OO-1.2.1.C1,1131,L3
so1_002_1_C2,false,so1_002_1,OO-1.2.1.C2,1132,L3
so1_002_1_C3,false,so1_002_1,OO-1.2.1.C3,1133,L3
